home,score,away,home_scores,away_scores,year
新潟,0-2,清水,0,2,2007
横浜FM,2-2,広島,2,2,2007
千葉,6-0,大分,6,0,2007
横浜FM,4-1,磐田,4,1,2007
清水,1-0,横浜FC,1,0,2007
神戸,1-2,浦和,1,2,2007
大宮,1-1,柏,1,1,2007
甲府,0-1,新潟,0,1,2007
Ｇ大阪,5-1,鹿島,5,1,2007
広島,0-5,Ｆ東京,0,5,2007
川崎Ｆ,1-1,名古屋,1,1,2007
浦和,0-1,大宮,0,1,2007
鹿島,4-1,川崎Ｆ,4,1,2007
Ｆ東京,3-1,神戸,3,1,2007
磐田,0-1,清水,0,1,2007
横浜FC,1-2,広島,1,2,2007
新潟,0-1,千葉,0,1,2007
名古屋,1-4,Ｇ大阪,1,4,2007
柏,1-0,横浜FM,1,0,2007
大分,4-1,甲府,4,1,2007
広島,2-4,浦和,2,4,2007
清水,2-0,甲府,2,0,2007
千葉,4-2,神戸,4,2,2007
川崎Ｆ,2-2,大分,2,2,2007
名古屋,3-0,鹿島,3,0,2007
大宮,0-2,磐田,0,2,2007
横浜FC,0-2,Ｆ東京,0,2,2007
新潟,1-2,柏,1,2,2007
Ｇ大阪,0-2,横浜FM,0,2,2007
大分,2-0,横浜FC,2,0,2007
大宮,0-1,千葉,0,1,2007
神戸,5-0,名古屋,5,0,2007
甲府,2-1,広島,2,1,2007
横浜FM,0-1,浦和,0,1,2007
鹿島,3-1,新潟,3,1,2007
Ｆ東京,2-0,清水,2,0,2007
磐田,1-1,Ｇ大阪,1,1,2007
柏,4-0,川崎Ｆ,4,0,2007
名古屋,2-0,柏,2,0,2007
磐田,3-0,横浜FC,3,0,2007
横浜FM,0-2,大宮,0,2,2007
神戸,1-0,清水,1,0,2007
Ｇ大阪,1-0,大分,1,0,2007
広島,0-1,鹿島,0,1,2007
川崎Ｆ,1-1,甲府,1,1,2007
浦和,1-0,新潟,1,0,2007
千葉,3-2,Ｆ東京,3,2,2007
鹿島,3-2,神戸,3,2,2007
広島,0-1,磐田,0,1,2007
Ｆ東京,2-1,横浜FM,2,1,2007
新潟,1-0,大宮,1,0,2007
柏,1-2,Ｇ大阪,1,2,2007
甲府,0-1,千葉,0,1,2007
清水,3-0,名古屋,3,0,2007
横浜FC,0-1,川崎Ｆ,0,1,2007
浦和,2-1,大分,2,1,2007
大宮,1-0,広島,1,0,2007
磐田,1-3,鹿島,1,3,2007
川崎Ｆ,4-3,新潟,4,3,2007
神戸,3-0,横浜FC,3,0,2007
横浜FM,0-2,清水,0,2,2007
千葉,2-4,浦和,2,4,2007
大分,2-1,柏,2,1,2007
Ｇ大阪,5-0,甲府,5,0,2007
名古屋,0-1,Ｆ東京,0,1,2007
広島,2-2,千葉,2,2,2007
横浜FC,0-1,大宮,0,1,2007
柏,1-3,神戸,1,3,2007
新潟,1-1,磐田,1,1,2007
鹿島,3-0,大分,3,0,2007
甲府,1-1,横浜FM,1,1,2007
清水,3-1,Ｇ大阪,3,1,2007
Ｆ東京,0-7,川崎Ｆ,0,7,2007
浦和,0-0,名古屋,0,0,2007
横浜FM,2-3,鹿島,2,3,2007
名古屋,0-0,磐田,0,0,2007
柏,1-1,横浜FC,1,1,2007
新潟,2-1,Ｆ東京,2,1,2007
Ｇ大阪,2-0,千葉,2,0,2007
神戸,4-1,甲府,4,1,2007
清水,3-1,広島,3,1,2007
大宮,1-2,大分,1,2,2007
川崎Ｆ,1-1,浦和,1,1,2007
甲府,0-0,大宮,0,0,2007
浦和,0-0,清水,0,0,2007
磐田,1-3,川崎Ｆ,1,3,2007
Ｆ東京,1-1,Ｇ大阪,1,1,2007
鹿島,1-0,柏,1,0,2007
広島,1-1,神戸,1,1,2007
千葉,2-3,横浜FM,2,3,2007
横浜FC,0-2,新潟,0,2,2007
大分,1-3,名古屋,1,3,2007
Ｆ東京,1-2,大宮,1,2,2007
横浜FM,1-0,新潟,1,0,2007
名古屋,0-0,横浜FC,0,0,2007
浦和,0-1,鹿島,0,1,2007
柏,2-1,甲府,2,1,2007
清水,2-2,千葉,2,2,2007
Ｇ大阪,1-1,神戸,1,1,2007
川崎Ｆ,3-0,広島,3,0,2007
大分,1-0,磐田,1,0,2007
大宮,1-1,川崎Ｆ,1,1,2007
千葉,0-2,名古屋,0,2,2007
鹿島,3-0,清水,3,0,2007
横浜FC,1-0,浦和,1,0,2007
甲府,0-1,Ｆ東京,0,1,2007
新潟,0-2,大分,0,2,2007
磐田,4-0,柏,4,0,2007
神戸,0-0,横浜FM,0,0,2007
広島,2-2,Ｇ大阪,2,2,2007
Ｇ大阪,0-0,千葉,0,0,2008
Ｆ東京,1-1,神戸,1,1,2008
名古屋,1-1,京都,1,1,2008
横浜FM,1-0,浦和,1,0,2008
清水,1-2,大分,1,2,2008
鹿島,4-0,札幌,4,0,2008
柏,2-0,磐田,2,0,2008
川崎Ｆ,1-1,東京Ｖ,1,1,2008
大宮,2-0,新潟,2,0,2008
大分,2-0,柏,2,0,2008
浦和,0-2,名古屋,0,2,2008
神戸,4-1,川崎Ｆ,4,1,2008
磐田,3-0,Ｇ大阪,3,0,2008
新潟,2-3,Ｆ東京,2,3,2008
札幌,1-2,横浜FM,1,2,2008
千葉,1-2,清水,1,2,2008
京都,2-1,大宮,2,1,2008
東京Ｖ,0-2,鹿島,0,2,2008
Ｇ大阪,2-1,東京Ｖ,2,1,2008
清水,0-0,大宮,0,0,2008
Ｆ東京,3-3,京都,3,3,2008
川崎Ｆ,2-0,千葉,2,0,2008
柏,1-2,札幌,1,2,2008
浦和,3-0,新潟,3,0,2008
鹿島,2-1,横浜FM,2,1,2008
名古屋,2-1,大分,2,1,2008
神戸,3-2,磐田,3,2,2008
大分,1-2,Ｇ大阪,1,2,2008
札幌,0-2,川崎Ｆ,0,2,2008
千葉,1-1,神戸,1,1,2008
東京Ｖ,1-2,磐田,1,2,2008
清水,1-2,浦和,1,2,2008
大宮,1-2,名古屋,1,2,2008
新潟,0-2,鹿島,0,2,2008
京都,0-1,柏,0,1,2008
横浜FM,3-0,Ｆ東京,3,0,2008
大宮,2-0,大分,2,0,2008
磐田,1-2,浦和,1,2,2008
鹿島,4-1,千葉,4,1,2008
Ｆ東京,1-0,札幌,1,0,2008
名古屋,2-0,横浜FM,2,0,2008
Ｇ大阪,2-0,清水,2,0,2008
川崎Ｆ,0-1,京都,0,1,2008
柏,0-0,新潟,0,0,2008
神戸,0-1,東京Ｖ,0,1,2008
札幌,2-1,磐田,2,1,2008
清水,0-2,名古屋,0,2,2008
横浜FM,2-0,柏,2,0,2008
千葉,2-4,大宮,2,4,2008
東京Ｖ,1-2,Ｆ東京,1,2,2008
大分,0-0,川崎Ｆ,0,0,2008
京都,2-1,神戸,2,1,2008
Ｇ大阪,2-2,新潟,2,2,2008
浦和,2-0,鹿島,2,0,2008
名古屋,3-2,千葉,3,2,2008
新潟,1-0,京都,1,0,2008
鹿島,0-0,Ｇ大阪,0,0,2008
Ｆ東京,4-2,川崎Ｆ,4,2,2008
神戸,1-1,札幌,1,1,2008
柏,5-1,東京Ｖ,5,1,2008
横浜FM,1-1,清水,1,1,2008
浦和,0-0,大宮,0,0,2008
磐田,1-1,大分,1,1,2008
清水,1-0,Ｆ東京,1,0,2008
札幌,0-1,新潟,0,1,2008
東京Ｖ,2-0,名古屋,2,0,2008
大分,1-0,横浜FM,1,0,2008
京都,0-4,浦和,0,4,2008
千葉,1-2,磐田,1,2,2008
川崎Ｆ,3-2,柏,3,2,2008
大宮,1-1,鹿島,1,1,2008
神戸,2-1,Ｇ大阪,2,1,2008
柏,0-2,清水,0,2,2008
磐田,2-0,京都,2,0,2008
新潟,0-0,東京Ｖ,0,0,2008
浦和,4-2,札幌,4,2,2008
Ｆ東京,1-0,大分,1,0,2008
名古屋,1-2,川崎Ｆ,1,2,2008
横浜FM,3-0,千葉,3,0,2008
Ｇ大阪,2-3,大宮,2,3,2008
鹿島,2-2,神戸,2,2,2008
京都,1-0,札幌,1,0,2008
大分,3-1,新潟,3,1,2008
名古屋,1-2,Ｇ大阪,1,2,2008
大宮,0-3,Ｆ東京,0,3,2008
東京Ｖ,3-2,横浜FM,3,2,2008
千葉,0-1,柏,0,1,2008
清水,1-1,磐田,1,1,2008
川崎Ｆ,3-2,鹿島,3,2,2008
神戸,1-1,浦和,1,1,2008
磐田,1-4,川崎Ｆ,1,4,2008
札幌,1-3,東京Ｖ,1,3,2008
柏,3-0,神戸,3,0,2008
新潟,3-0,清水,3,0,2008
横浜FM,1-1,大宮,1,1,2008
Ｆ東京,0-1,名古屋,0,1,2008
浦和,3-0,千葉,3,0,2008
川崎Ｆ,0-1,浦和,0,1,2008
大分,2-0,東京Ｖ,2,0,2008
大宮,1-2,札幌,1,2,2008
千葉,1-0,京都,1,0,2008
Ｆ東京,0-1,柏,0,1,2008
名古屋,0-0,神戸,0,0,2008
新潟,1-0,磐田,1,0,2008
清水,1-0,鹿島,1,0,2008
Ｇ大阪,2-2,横浜FM,2,2,2008
札幌,1-3,名古屋,1,3,2008
磐田,1-2,Ｆ東京,1,2,2008
浦和,2-3,Ｇ大阪,2,3,2008
京都,1-0,横浜FM,1,0,2008
鹿島,1-1,柏,1,1,2008
千葉,1-0,大分,1,0,2008
川崎Ｆ,2-3,大宮,2,3,2008
神戸,1-1,新潟,1,1,2008
東京Ｖ,4-1,清水,4,1,2008
Ｇ大阪,1-0,京都,1,0,2008
鹿島,1-0,大分,1,0,2008
大宮,2-0,東京Ｖ,2,0,2008
清水,2-1,京都,2,1,2008
新潟,2-1,川崎Ｆ,2,1,2008
名古屋,0-4,鹿島,0,4,2008
柏,2-1,浦和,2,1,2008
横浜FM,0-1,磐田,0,1,2008
大分,1-0,神戸,1,0,2008
Ｆ東京,1-1,千葉,1,1,2008
Ｇ大阪,4-2,札幌,4,2,2008
札幌,2-2,清水,2,2,2008
東京Ｖ,3-0,千葉,3,0,2008
新潟,2-1,名古屋,2,1,2008
磐田,1-2,鹿島,1,2,2008
神戸,1-0,大宮,1,0,2008
浦和,2-0,Ｆ東京,2,0,2008
柏,1-0,Ｇ大阪,1,0,2008
川崎Ｆ,2-1,横浜FM,2,1,2008
京都,1-1,大分,1,1,2008
清水,0-1,神戸,0,1,2008
東京Ｖ,0-1,京都,0,1,2008
大分,2-0,浦和,2,0,2008
名古屋,1-0,柏,1,0,2008
Ｇ大阪,2-1,川崎Ｆ,2,1,2008
大宮,1-2,磐田,1,2,2008
横浜FM,0-1,新潟,0,1,2008
千葉,0-3,札幌,0,3,2008
鹿島,4-1,Ｆ東京,4,1,2008
札幌,0-0,大分,0,0,2008
京都,2-1,鹿島,2,1,2008
神戸,1-0,横浜FM,1,0,2008
新潟,2-2,千葉,2,2,2008
Ｆ東京,1-1,Ｇ大阪,1,1,2008
磐田,2-1,名古屋,2,1,2008
柏,1-0,大宮,1,0,2008
川崎Ｆ,2-1,清水,2,1,2008
浦和,3-2,東京Ｖ,3,2,2008
札幌,1-1,神戸,1,1,2008
東京Ｖ,2-1,柏,2,1,2008
大分,2-1,磐田,2,1,2008
横浜FM,0-2,鹿島,0,2,2008
清水,3-0,新潟,3,0,2008
千葉,0-1,Ｇ大阪,0,1,2008
浦和,1-3,川崎Ｆ,1,3,2008
名古屋,4-0,大宮,4,0,2008
京都,1-1,Ｆ東京,1,1,2008
Ｇ大阪,0-1,大分,0,1,2008
神戸,0-1,千葉,0,1,2008
柏,2-2,京都,2,2,2008
Ｆ東京,1-1,横浜FM,1,1,2008
川崎Ｆ,1-1,名古屋,1,1,2008
磐田,1-1,東京Ｖ,1,1,2008
新潟,2-1,札幌,2,1,2008
鹿島,1-1,浦和,1,1,2008
大宮,0-0,清水,0,0,2008
札幌,1-2,大宮,1,2,2008
東京Ｖ,4-0,新潟,4,0,2008
大分,2-2,清水,2,2,2008
千葉,3-1,鹿島,3,1,2008
名古屋,0-1,Ｆ東京,0,1,2008
磐田,0-1,神戸,0,1,2008
京都,1-2,川崎Ｆ,1,2,2008
横浜FM,2-1,Ｇ大阪,2,1,2008
浦和,2-2,柏,2,2,2008
大宮,2-0,Ｇ大阪,2,0,2008
鹿島,4-1,東京Ｖ,4,1,2008
Ｆ東京,0-1,浦和,0,1,2008
新潟,0-1,大分,0,1,2008
神戸,1-2,名古屋,1,2,2008
柏,1-1,千葉,1,1,2008
札幌,1-2,京都,1,2,2008
清水,1-1,横浜FM,1,1,2008
川崎Ｆ,2-2,磐田,2,2,2008
鹿島,1-2,名古屋,1,2,2008
浦和,3-1,磐田,3,1,2008
Ｆ東京,1-2,東京Ｖ,1,2,2008
Ｇ大阪,1-1,神戸,1,1,2008
清水,3-2,柏,3,2,2008
京都,1-0,新潟,1,0,2008
大分,1-0,大宮,1,0,2008
横浜FM,1-0,札幌,1,0,2008
千葉,0-1,川崎Ｆ,0,1,2008
東京Ｖ,1-1,浦和,1,1,2008
磐田,0-0,千葉,0,0,2008
名古屋,3-2,清水,3,2,2008
神戸,1-2,鹿島,1,2,2008
札幌,3-3,Ｇ大阪,3,3,2008
大宮,1-0,横浜FM,1,0,2008
川崎Ｆ,4-1,新潟,4,1,2008
柏,0-1,Ｆ東京,0,1,2008
大分,1-0,京都,1,0,2008
浦和,0-0,大分,0,0,2008
清水,3-1,札幌,3,1,2008
横浜FM,1-1,神戸,1,1,2008
Ｆ東京,3-1,大宮,3,1,2008
鹿島,1-1,川崎Ｆ,1,1,2008
Ｇ大阪,0-1,名古屋,0,1,2008
京都,2-0,磐田,2,0,2008
新潟,2-1,柏,2,1,2008
千葉,2-0,東京Ｖ,2,0,2008
東京Ｖ,0-2,大分,0,2,2008
札幌,2-3,千葉,2,3,2008
柏,1-1,鹿島,1,1,2008
磐田,0-1,横浜FM,0,1,2008
神戸,0-1,清水,0,1,2008
川崎Ｆ,0-1,Ｆ東京,0,1,2008
名古屋,2-0,新潟,2,0,2008
大宮,0-1,浦和,0,1,2008
京都,1-2,Ｇ大阪,1,2,2008
大分,3-2,札幌,3,2,2008
横浜FM,1-1,川崎Ｆ,1,1,2008
清水,1-0,東京Ｖ,1,0,2008
新潟,3-2,神戸,3,2,2008
Ｆ東京,5-1,磐田,5,1,2008
千葉,2-1,名古屋,2,1,2008
横浜FM,1-0,大分,1,0,2008
大宮,0-2,神戸,0,2,2008
京都,0-1,千葉,0,1,2008
柏,2-5,川崎Ｆ,2,5,2008
札幌,1-2,Ｆ東京,1,2,2008
鹿島,2-0,清水,2,0,2008
東京Ｖ,1-3,Ｇ大阪,1,3,2008
磐田,1-0,新潟,1,0,2008
名古屋,1-1,浦和,1,1,2008
浦和,2-2,京都,2,2,2008
Ｇ大阪,2-1,柏,2,1,2008
鹿島,2-0,大宮,2,0,2008
川崎Ｆ,3-0,大分,3,0,2008
Ｇ大阪,0-0,鹿島,0,0,2008
Ｆ東京,1-5,清水,1,5,2008
新潟,0-0,横浜FM,0,0,2008
神戸,4-1,京都,4,1,2008
大宮,0-4,柏,0,4,2008
磐田,5-0,札幌,5,0,2008
千葉,3-2,浦和,3,2,2008
名古屋,1-1,東京Ｖ,1,1,2008
大分,1-0,Ｆ東京,1,0,2008
浦和,0-1,神戸,0,1,2008
鹿島,2-1,京都,2,1,2008
東京Ｖ,1-0,大宮,1,0,2008
清水,2-0,川崎Ｆ,2,0,2008
千葉,0-0,新潟,0,0,2008
Ｇ大阪,2-1,磐田,2,1,2008
札幌,0-2,柏,0,2,2008
横浜FM,0-0,名古屋,0,0,2008
名古屋,0-0,磐田,0,0,2008
神戸,1-0,大分,1,0,2008
柏,1-3,横浜FM,1,3,2008
京都,0-0,東京Ｖ,0,0,2008
清水,3-1,Ｇ大阪,3,1,2008
新潟,0-1,浦和,0,1,2008
Ｆ東京,3-2,鹿島,3,2,2008
大宮,2-1,千葉,2,1,2008
川崎Ｆ,3-1,札幌,3,1,2008
横浜FM,1-3,京都,1,3,2008
Ｇ大阪,1-3,Ｆ東京,1,3,2008
札幌,1-2,浦和,1,2,2008
大宮,2-1,川崎Ｆ,2,1,2008
柏,2-1,名古屋,2,1,2008
磐田,1-0,清水,1,0,2008
東京Ｖ,0-2,神戸,0,2,2008
鹿島,0-0,新潟,0,0,2008
大分,0-0,千葉,0,0,2008
神戸,1-1,Ｆ東京,1,1,2008
浦和,1-2,清水,1,2,2008
京都,2-3,名古屋,2,3,2008
川崎Ｆ,4-0,Ｇ大阪,4,0,2008
大分,0-1,鹿島,0,1,2008
新潟,2-2,大宮,2,2,2008
千葉,0-3,横浜FM,0,3,2008
東京Ｖ,1-1,札幌,1,1,2008
磐田,3-3,柏,3,3,2008
清水,3-2,千葉,3,2,2008
Ｇ大阪,1-0,浦和,1,0,2008
鹿島,1-0,磐田,1,0,2008
川崎Ｆ,4-0,神戸,4,0,2008
横浜FM,2-0,東京Ｖ,2,0,2008
柏,0-2,大分,0,2,2008
大宮,1-1,京都,1,1,2008
Ｆ東京,1-0,新潟,1,0,2008
名古屋,3-1,札幌,3,1,2008
浦和,1-6,横浜FM,1,6,2008
札幌,0-1,鹿島,0,1,2008
東京Ｖ,0-2,川崎Ｆ,0,2,2008
千葉,4-2,Ｆ東京,4,2,2008
新潟,3-2,Ｇ大阪,3,2,2008
磐田,0-1,大宮,0,1,2008
京都,1-3,清水,1,3,2008
神戸,0-2,柏,0,2,2008
大分,0-0,名古屋,0,0,2008
Ｆ東京,1-4,新潟,1,4,2009
横浜FM,2-4,広島,2,4,2009
名古屋,3-2,大分,3,2,2009
千葉,0-3,Ｇ大阪,0,3,2009
川崎Ｆ,1-1,柏,1,1,2009
磐田,2-6,山形,2,6,2009
鹿島,2-0,浦和,2,0,2009
大宮,0-0,清水,0,0,2009
京都,1-0,神戸,1,0,2009
大分,1-0,京都,1,0,2009
浦和,3-1,Ｆ東京,3,1,2009
神戸,2-1,川崎Ｆ,2,1,2009
柏,1-1,千葉,1,1,2009
清水,0-0,横浜FM,0,0,2009
Ｇ大阪,4-1,磐田,4,1,2009
山形,0-0,名古屋,0,0,2009
新潟,2-1,鹿島,2,1,2009
広島,2-3,大宮,2,3,2009
大宮,1-1,神戸,1,1,2009
磐田,1-1,浦和,1,1,2009
Ｆ東京,1-0,山形,1,0,2009
横浜FM,3-3,柏,3,3,2009
大分,0-0,新潟,0,0,2009
名古屋,3-1,清水,3,1,2009
京都,2-1,Ｇ大阪,2,1,2009
鹿島,2-1,広島,2,1,2009
千葉,1-1,川崎Ｆ,1,1,2009
Ｇ大阪,2-2,広島,2,2,2009
鹿島,2-1,京都,2,1,2009
川崎Ｆ,3-1,名古屋,3,1,2009
浦和,1-0,大分,1,0,2009
新潟,2-1,横浜FM,2,1,2009
柏,2-2,大宮,2,2,2009
磐田,0-1,Ｆ東京,0,1,2009
山形,1-0,千葉,1,0,2009
神戸,0-1,清水,0,1,2009
大分,0-1,山形,0,1,2009
横浜FM,5-0,神戸,5,0,2009
千葉,1-1,磐田,1,1,2009
京都,1-0,新潟,1,0,2009
広島,4-1,柏,4,1,2009
清水,1-0,川崎Ｆ,1,0,2009
Ｆ東京,1-2,鹿島,1,2,2009
大宮,3-2,Ｇ大阪,3,2,2009
名古屋,0-1,浦和,0,1,2009
Ｇ大阪,2-1,山形,2,1,2009
柏,1-2,名古屋,1,2,2009
新潟,3-3,広島,3,3,2009
鹿島,0-0,横浜FM,0,0,2009
川崎Ｆ,3-1,大宮,3,1,2009
浦和,1-0,京都,1,0,2009
Ｆ東京,1-2,千葉,1,2,2009
磐田,3-0,清水,3,0,2009
神戸,3-2,大分,3,2,2009
大宮,0-1,新潟,0,1,2009
清水,1-1,柏,1,1,2009
山形,1-1,鹿島,1,1,2009
千葉,0-1,浦和,0,1,2009
京都,2-3,磐田,2,3,2009
大分,0-1,Ｆ東京,0,1,2009
広島,1-1,川崎Ｆ,1,1,2009
神戸,3-1,Ｇ大阪,3,1,2009
名古屋,2-1,横浜FM,2,1,2009
川崎Ｆ,4-1,京都,4,1,2009
新潟,2-2,千葉,2,2,2009
名古屋,0-0,広島,0,0,2009
大宮,0-3,山形,0,3,2009
柏,2-1,大分,2,1,2009
清水,2-2,浦和,2,2,2009
横浜FM,1-0,磐田,1,0,2009
Ｇ大阪,4-2,Ｆ東京,4,2,2009
鹿島,1-0,神戸,1,0,2009
磐田,1-0,神戸,1,0,2009
山形,0-0,柏,0,0,2009
大分,1-3,Ｇ大阪,1,3,2009
横浜FM,2-1,川崎Ｆ,2,1,2009
千葉,0-2,鹿島,0,2,2009
京都,0-1,名古屋,0,1,2009
広島,0-0,清水,0,0,2009
浦和,1-0,新潟,1,0,2009
Ｆ東京,3-2,大宮,3,2,2009
新潟,3-3,磐田,3,3,2009
大宮,3-0,大分,3,0,2009
京都,2-0,横浜FM,2,0,2009
柏,2-3,浦和,2,3,2009
神戸,3-1,山形,3,1,2009
清水,2-2,千葉,2,2,2009
広島,2-0,Ｆ東京,2,0,2009
大分,1-2,横浜FM,1,2,2009
Ｆ東京,0-0,京都,0,0,2009
磐田,3-1,大宮,3,1,2009
千葉,2-1,広島,2,1,2009
山形,0-1,新潟,0,1,2009
浦和,2-3,川崎Ｆ,2,3,2009
Ｇ大阪,4-0,柏,4,0,2009
鹿島,2-1,清水,2,1,2009
神戸,2-2,名古屋,2,2,2009
名古屋,1-1,大宮,1,1,2009
浦和,0-0,Ｇ大阪,0,0,2009
川崎Ｆ,2-0,磐田,2,0,2009
柏,1-2,鹿島,1,2,2009
広島,3-1,山形,3,1,2009
清水,3-1,大分,3,1,2009
横浜FM,0-1,Ｆ東京,0,1,2009
新潟,2-0,神戸,2,0,2009
京都,2-1,千葉,2,1,2009
新潟,0-1,清水,0,1,2009
大分,0-1,広島,0,1,2009
山形,0-0,京都,0,0,2009
千葉,1-1,横浜FM,1,1,2009
神戸,3-1,柏,3,1,2009
Ｇ大阪,0-1,鹿島,0,1,2009
Ｆ東京,2-3,川崎Ｆ,2,3,2009
磐田,2-1,名古屋,2,1,2009
大宮,1-1,浦和,1,1,2009
川崎Ｆ,2-0,大分,2,0,2009
清水,4-1,山形,4,1,2009
名古屋,0-1,千葉,0,1,2009
Ｇ大阪,0-2,新潟,0,2,2009
鹿島,1-0,磐田,1,0,2009
大宮,2-1,京都,2,1,2009
柏,0-3,Ｆ東京,0,3,2009
広島,4-3,神戸,4,3,2009
横浜FM,2-0,浦和,2,0,2009
京都,2-0,広島,2,0,2009
磐田,2-3,柏,2,3,2009
浦和,2-0,神戸,2,0,2009
千葉,0-2,大宮,0,2,2009
Ｆ東京,2-1,清水,2,1,2009
山形,0-1,川崎Ｆ,0,1,2009
横浜FM,1-2,Ｇ大阪,1,2,2009
新潟,2-1,名古屋,2,1,2009
大分,1-2,鹿島,1,2,2009
名古屋,0-3,鹿島,0,3,2009
川崎Ｆ,1-0,Ｇ大阪,1,0,2009
大宮,0-0,横浜FM,0,0,2009
清水,3-3,京都,3,3,2009
山形,2-3,浦和,2,3,2009
柏,0-4,新潟,0,4,2009
神戸,0-2,Ｆ東京,0,2,2009
大分,1-2,千葉,1,2,2009
名古屋,2-1,Ｇ大阪,2,1,2009
広島,0-1,磐田,0,1,2009
川崎Ｆ,1-1,鹿島,1,1,2009
鹿島,2-0,大宮,2,0,2009
千葉,1-1,神戸,1,1,2009
横浜FM,1-2,山形,1,2,2009
新潟,2-2,川崎Ｆ,2,2,2009
浦和,2-1,広島,2,1,2009
Ｇ大阪,1-4,清水,1,4,2009
京都,1-2,柏,1,2,2009
Ｆ東京,3-0,名古屋,3,0,2009
磐田,3-1,大分,3,1,2009
川崎Ｆ,2-2,神戸,2,2,2009
大宮,0-3,Ｆ東京,0,3,2009
清水,2-2,鹿島,2,2,2009
名古屋,1-1,京都,1,1,2009
横浜FM,1-1,新潟,1,1,2009
大分,1-0,浦和,1,0,2009
山形,3-1,磐田,3,1,2009
広島,4-1,千葉,4,1,2009
柏,0-2,Ｇ大阪,0,2,2009
Ｆ東京,0-0,広島,0,0,2009
浦和,0-3,名古屋,0,3,2009
千葉,1-2,清水,1,2,2009
Ｇ大阪,1-0,大分,1,0,2009
鹿島,1-1,柏,1,1,2009
神戸,1-2,大宮,1,2,2009
新潟,1-1,山形,1,1,2009
京都,3-1,川崎Ｆ,3,1,2009
磐田,1-1,横浜FM,1,1,2009
川崎Ｆ,2-1,Ｆ東京,2,1,2009
新潟,0-0,大宮,0,0,2009
磐田,3-2,千葉,3,2,2009
広島,1-0,鹿島,1,0,2009
横浜FM,3-0,京都,3,0,2009
大分,2-1,名古屋,2,1,2009
山形,1-1,Ｇ大阪,1,1,2009
浦和,0-1,清水,0,1,2009
柏,0-1,神戸,0,1,2009
京都,1-0,山形,1,0,2009
鹿島,1-0,大分,1,0,2009
Ｇ大阪,1-0,浦和,1,0,2009
名古屋,0-2,川崎Ｆ,0,2,2009
神戸,0-0,広島,0,0,2009
千葉,0-0,柏,0,0,2009
大宮,1-1,磐田,1,1,2009
Ｆ東京,0-0,横浜FM,0,0,2009
清水,1-1,新潟,1,1,2009
磐田,2-1,川崎Ｆ,2,1,2009
山形,1-0,Ｆ東京,1,0,2009
新潟,1-2,Ｇ大阪,1,2,2009
京都,0-1,清水,0,1,2009
神戸,1-0,鹿島,1,0,2009
広島,1-0,大分,1,0,2009
千葉,0-2,名古屋,0,2,2009
浦和,1-4,柏,1,4,2009
横浜FM,1-0,大宮,1,0,2009
大宮,1-1,千葉,1,1,2009
新潟,1-2,京都,1,2,2009
清水,5-1,磐田,5,1,2009
広島,2-1,浦和,2,1,2009
柏,1-1,横浜FM,1,1,2009
Ｇ大阪,2-3,名古屋,2,3,2009
鹿島,3-1,Ｆ東京,3,1,2009
川崎Ｆ,2-0,山形,2,0,2009
大分,0-2,神戸,0,2,2009
大宮,3-1,鹿島,3,1,2009
名古屋,1-0,新潟,1,0,2009
Ｆ東京,2-0,大分,2,0,2009
磐田,1-3,Ｇ大阪,1,3,2009
神戸,3-2,浦和,3,2,2009
横浜FM,1-1,千葉,1,1,2009
山形,1-2,広島,1,2,2009
柏,0-0,京都,0,0,2009
川崎Ｆ,1-1,清水,1,1,2009
清水,1-0,大宮,1,0,2009
京都,2-1,Ｆ東京,2,1,2009
千葉,0-1,新潟,0,1,2009
広島,3-2,横浜FM,3,2,2009
Ｇ大阪,3-2,神戸,3,2,2009
名古屋,2-3,柏,2,3,2009
浦和,4-1,山形,4,1,2009
大分,2-1,磐田,2,1,2009
新潟,0-0,大分,0,0,2009
磐田,3-0,京都,3,0,2009
横浜FM,2-1,鹿島,2,1,2009
Ｆ東京,0-0,Ｇ大阪,0,0,2009
大宮,0-2,名古屋,0,2,2009
川崎Ｆ,0-2,浦和,0,2,2009
山形,0-1,清水,0,1,2009
柏,1-1,広島,1,1,2009
神戸,2-2,千葉,2,2,2009
大分,0-0,柏,0,0,2009
Ｇ大阪,2-1,川崎Ｆ,2,1,2009
Ｆ東京,3-2,磐田,3,2,2009
鹿島,1-4,名古屋,1,4,2009
京都,1-3,大宮,1,3,2009
千葉,1-2,山形,1,2,2009
広島,1-2,新潟,1,2,2009
清水,1-0,神戸,1,0,2009
浦和,1-2,横浜FM,1,2,2009
清水,1-1,広島,1,1,2009
山形,0-0,大分,0,0,2009
柏,1-2,磐田,1,2,2009
浦和,3-1,千葉,3,1,2009
神戸,1-1,京都,1,1,2009
川崎Ｆ,2-0,横浜FM,2,0,2009
Ｇ大阪,4-1,大宮,4,1,2009
鹿島,0-1,新潟,0,1,2009
名古屋,1-2,Ｆ東京,1,2,2009
鹿島,2-3,川崎Ｆ,2,3,2009
Ｆ東京,4-0,柏,4,0,2009
広島,2-2,Ｇ大阪,2,2,2009
山形,1-0,神戸,1,0,2009
大宮,2-3,川崎Ｆ,2,3,2009
新潟,0-1,浦和,0,1,2009
磐田,0-0,鹿島,0,0,2009
横浜FM,2-1,名古屋,2,1,2009
